name,color
Rogers Park,#9ACD32
West Ridge,#377DB8
Uptown,#F5DEB3
Lincoln Square,#EE82EE
North Center,#40E0D0
Lake View,#FF6347
Lincoln Park,#D8BFD8
Near North Side,#2E6D41
Edison Park,#708090
Norwood Park,#87CEEB
Jefferson Park,#A0522D
Forest Glen,#6A5ACD"
North Park,#2E8B57
Albany Park,#F4A460
Portage Park,#245FAF
Irving Park,#FA8072
Dunning,#9ACD32
Montclare,#377DB8
Belmont Cragin,#F5DEB3
Hermosa,#EE82EE
Avondale,#40E0D0
Logan Square,#FF6347
Humboldt Park,#D8BFD8
West Town,#6A5ACD
Austin,#708090
West Garfield Park,#87CEEB
East Garfield Park,#A0522D
Near West Side,#9ACD32
North Lawndale,#2E8B57
South Lawndale,#245FAF
Lower West Side,#FA8072
Loop,#F4A460
Near South Side,#2E8B57
Armour Square,#A0522D
Douglas,#6A5ACD
Oakland,#708090
Fuller Park,#40E0D0
Grand Boulevard,#4682B4
Kenwood,#EE82EE
Washington Park,#9ACD32
Hyde Park,#D2B48C
Woodlawn,#D8BFD8
South Shore,#708090
Chatham,#00FF7F
Avalon Park,#D8BFD8
South Chicago,#A4CAFA
Burnside,#D2B48C
Calumet Heights,#EE82EE
Roseland,#87CEEB
Pullman,#377DB8
South Deering,#9ACD32
East Side,#40E0D0
West Pullman,#D8BFD8
Riverdale,#6A5ACD
Hegewisch,#40E0D0
Garfield Ridge,#A0522D
Archer Heights,#377DB8
Brighton Park,#A0522D
Mckinley Park,#9ACD32
Bridgeport,#377DB8
New City,#F5DEB3
West Elsdon,#EE82EE
Gage Park,#40E0D0
Clearing,#A9CAFA
West Lawn,#D8BFD8
Chicago Lawn,#D2B48C
West Englewood,#4682B4
Englewood,#00FF7F
Greater Grand Crossing,#A0522D
Ashburn,#40E0D0
Auburn Gresham,#708090
Beverly,#87CEEB
Washington Heights,#A0522D
Mount Greenwood,#FA8072
Morgan Park,#2E8B57
O'hare,#F4A460
Edgewater,#FA8072